,example_ids,all_SM_preds,all_SMA_preds,all_SM_probs,all_SMA_probs,all_labels
723,723,5,3,"[0.0331634022295475, 0.16516460478305817, 0.11027789115905762, 0.24903979897499084, 0.1870877891778946, 0.25526654720306396]","[0.0363801047205925, 0.20477814972400665, 0.14394283294677734, 0.30920735001564026, 0.2026224285364151, 0.10306915640830994]",2
724,724,1,2,"[0.07041427493095398, 0.3275347054004669, 0.12537433207035065, 0.13071025907993317, 0.12224970757961273, 0.22371669113636017]","[0.10253357142210007, 0.2746364176273346, 0.3031236529350281, 0.20030617713928223, 0.09022340923547745, 0.029176808893680573]",2
725,725,5,4,"[0.025046084076166153, 0.1320502758026123, 0.09104588627815247, 0.20917995274066925, 0.27042216062545776, 0.27225565910339355]","[0.031657859683036804, 0.19223132729530334, 0.12173877656459808, 0.25586503744125366, 0.27424120903015137, 0.12426578253507614]",3
726,726,1,1,"[0.044654473662376404, 0.34989693760871887, 0.13022127747535706, 0.18567179143428802, 0.08397084474563599, 0.20558464527130127]","[0.10233182460069656, 0.38840293884277344, 0.22104579210281372, 0.19463364779949188, 0.06418900936841965, 0.02939676307141781]",1
727,727,5,4,"[0.022907111793756485, 0.1285189688205719, 0.10664600878953934, 0.2311476618051529, 0.21097363531589508, 0.2998066842556]","[0.006649237126111984, 0.10326851159334183, 0.06417875736951828, 0.2190805822610855, 0.3244507908821106, 0.2823720872402191]",4
728,728,1,2,"[0.07342387735843658, 0.268301784992218, 0.15476466715335846, 0.16047939658164978, 0.14856202900409698, 0.19446825981140137]","[0.1962914913892746, 0.2406429648399353, 0.25545263290405273, 0.16680409014225006, 0.09220404922962189, 0.04860477149486542]",1
729,729,4,3,"[0.00660680141299963, 0.053416065871715546, 0.05366333946585655, 0.247512549161911, 0.3536263406276703, 0.2851749360561371]","[0.00270314933732152, 0.05895101651549339, 0.09037119150161743, 0.35945621132850647, 0.33348438143730164, 0.15503405034542084]",4
730,730,3,3,"[0.021299714222550392, 0.0984010174870491, 0.11092520505189896, 0.2841756343841553, 0.21518874168395996, 0.27000969648361206]","[0.018683603033423424, 0.1731639951467514, 0.11256919056177139, 0.289732962846756, 0.2324964851140976, 0.17335374653339386]",4
731,731,5,1,"[0.02876894176006317, 0.1149335652589798, 0.08209650218486786, 0.2557428777217865, 0.22035235166549683, 0.29810577630996704]","[0.09358471632003784, 0.24441179633140564, 0.11910196393728256, 0.18413172662258148, 0.1496828943490982, 0.20908688008785248]",5
732,732,5,1,"[0.08257030695676804, 0.1636069267988205, 0.11896190047264099, 0.23782317340373993, 0.14485231041908264, 0.2521853446960449]","[0.22052066028118134, 0.2557089924812317, 0.2175697684288025, 0.18260328471660614, 0.07719377428293228, 0.04640349745750427]",1
733,733,5,4,"[0.018104370683431625, 0.1453840732574463, 0.07349356263875961, 0.16889165341854095, 0.239926278591156, 0.35420000553131104]","[0.023973967880010605, 0.16919344663619995, 0.07700864225625992, 0.167417973279953, 0.2959802746772766, 0.2664256691932678]",4
734,734,5,3,"[0.025227591395378113, 0.11483229696750641, 0.08452160656452179, 0.2144070714712143, 0.21998678147792816, 0.34102460741996765]","[0.044315628707408905, 0.14070405066013336, 0.21016503870487213, 0.29334914684295654, 0.19665147364139557, 0.11481469124555588]",3
735,735,5,1,"[0.007428205572068691, 0.17568817734718323, 0.09971071034669876, 0.20832917094230652, 0.14083079993724823, 0.3680129945278168]","[0.03178314492106438, 0.2794697880744934, 0.18700049817562103, 0.22200755774974823, 0.13724270462989807, 0.14249630272388458]",4
736,736,5,3,"[0.033541712909936905, 0.13786223530769348, 0.07367037236690521, 0.23930490016937256, 0.18901026248931885, 0.3266105055809021]","[0.019420407712459564, 0.15799476206302643, 0.11096104234457016, 0.28505465388298035, 0.24729667603969574, 0.17927245795726776]",3
737,737,5,1,"[0.012772466987371445, 0.12920545041561127, 0.07026132941246033, 0.16618505120277405, 0.2440313845872879, 0.3775443136692047]","[0.03652946278452873, 0.28568798303604126, 0.15105019509792328, 0.22839617729187012, 0.1771976500749588, 0.12113848328590393]",1
738,738,5,2,"[0.03254818171262741, 0.14569495618343353, 0.14304119348526, 0.19221948087215424, 0.22514289617538452, 0.2613532543182373]","[0.19705332815647125, 0.1988786906003952, 0.2584299147129059, 0.17993669211864471, 0.09799672663211823, 0.06770467758178711]",3
739,739,5,0,"[0.028148991987109184, 0.16136956214904785, 0.123724065721035, 0.21807241439819336, 0.1901736855506897, 0.2785112261772156]","[0.3403984606266022, 0.2832217812538147, 0.15509264171123505, 0.10655999928712845, 0.05327800288796425, 0.06144915893673897]",0
740,740,5,3,"[0.029743079096078873, 0.15559467673301697, 0.10330263525247574, 0.21103490889072418, 0.1772461086511612, 0.32307860255241394]","[0.040651097893714905, 0.178818479180336, 0.15251310169696808, 0.2472311407327652, 0.19208239018917084, 0.18870380520820618]",2
741,741,5,1,"[0.024544095620512962, 0.19183877110481262, 0.10784374922513962, 0.21969978511333466, 0.16780491173267365, 0.2882687449455261]","[0.05670199170708656, 0.2798035144805908, 0.17720845341682434, 0.21715137362480164, 0.1531478464603424, 0.11598683148622513]",3
742,742,4,3,"[0.011951830238103867, 0.15130268037319183, 0.129271999001503, 0.23585787415504456, 0.24306458234786987, 0.22855103015899658]","[0.02400682494044304, 0.21267671883106232, 0.1462317258119583, 0.23464566469192505, 0.23344120383262634, 0.14899788796901703]",2
743,743,5,1,"[0.03198365494608879, 0.15996938943862915, 0.12157575786113739, 0.1931856870651245, 0.18596985936164856, 0.3073156774044037]","[0.09091975539922714, 0.26639172434806824, 0.2158283144235611, 0.1932101994752884, 0.12043162435293198, 0.11321841925382614]",3
744,744,5,5,"[0.02344403602182865, 0.12483642995357513, 0.11379539966583252, 0.26227858662605286, 0.18925540149211884, 0.286390095949173]","[0.017000237479805946, 0.1406918466091156, 0.06619612127542496, 0.15130557119846344, 0.2611098885536194, 0.3636963367462158]",3
745,745,5,1,"[0.036313485354185104, 0.14870159327983856, 0.10027975589036942, 0.24996276199817657, 0.18693307042121887, 0.27780935168266296]","[0.17774587869644165, 0.2585669755935669, 0.23762452602386475, 0.19981321692466736, 0.08170393109321594, 0.044545430690050125]",3
746,746,4,4,"[0.004079160280525684, 0.0934608206152916, 0.03374866768717766, 0.2870866060256958, 0.2979309856891632, 0.28369373083114624]","[0.0020774404983967543, 0.10165394842624664, 0.05930275470018387, 0.24103118479251862, 0.3436770737171173, 0.2522576153278351]",5
747,747,5,4,"[0.01313350722193718, 0.14109550416469574, 0.08175861090421677, 0.19063490629196167, 0.24786360561847687, 0.3255138695240021]","[0.002709216671064496, 0.06593538820743561, 0.04865539073944092, 0.20721882581710815, 0.3941352069377899, 0.28134602308273315]",5
748,748,3,3,"[0.06474494189023972, 0.12962274253368378, 0.12347615510225296, 0.2710227966308594, 0.18852899968624115, 0.22260433435440063]","[0.022689111530780792, 0.1310884952545166, 0.11841366440057755, 0.3179207146167755, 0.2464538812637329, 0.16343417763710022]",3
749,749,5,1,"[0.04831837862730026, 0.23618461191654205, 0.10839206725358963, 0.1722811907529831, 0.13532182574272156, 0.2995019257068634]","[0.06194295361638069, 0.2775232195854187, 0.11434698849916458, 0.14043430984020233, 0.15226328372955322, 0.25348928570747375]",1
750,750,5,1,"[0.04170004278421402, 0.1746884137392044, 0.12311093509197235, 0.19386202096939087, 0.17824885249137878, 0.28838974237442017]","[0.14574621617794037, 0.28577950596809387, 0.1595422476530075, 0.19129101932048798, 0.11021015048027039, 0.10743087530136108]",4
751,751,5,1,"[0.023672016337513924, 0.18415485322475433, 0.10021191835403442, 0.18562088906764984, 0.18358443677425385, 0.3227559030056]","[0.06059812009334564, 0.2254377007484436, 0.1884547770023346, 0.19711236655712128, 0.17136748135089874, 0.15702953934669495]",2
752,752,3,3,"[0.04683671146631241, 0.10597973316907883, 0.0870024636387825, 0.2691824734210968, 0.23198442161083221, 0.25901418924331665]","[0.059461455792188644, 0.19887332618236542, 0.14412496984004974, 0.28857889771461487, 0.20050428807735443, 0.1084570661187172]",3
753,753,5,4,"[0.02112281322479248, 0.1375151127576828, 0.10520359873771667, 0.21114152669906616, 0.20755314826965332, 0.317463755607605]","[0.01098127942532301, 0.15256060659885406, 0.08132873475551605, 0.22172676026821136, 0.2776961624622345, 0.25570642948150635]",2
754,754,5,4,"[0.017891669645905495, 0.1215239092707634, 0.09239014238119125, 0.20200493931770325, 0.26598337292671204, 0.3002060055732727]","[0.018264198675751686, 0.11963994801044464, 0.10159280151128769, 0.24109198153018951, 0.31300097703933716, 0.20641008019447327]",3
755,755,5,4,"[0.02062423899769783, 0.09679482877254486, 0.0627673864364624, 0.27888819575309753, 0.22055642306804657, 0.3203689455986023]","[0.005835934076458216, 0.07081766426563263, 0.04546918347477913, 0.19647860527038574, 0.35281825065612793, 0.32858043909072876]",5
756,756,5,3,"[0.030436921864748, 0.22287216782569885, 0.07927560806274414, 0.17353743314743042, 0.1909150332212448, 0.3029627799987793]","[0.0150708993896842, 0.14887167513370514, 0.12787382304668427, 0.2867994010448456, 0.257196843624115, 0.16418737173080444]",1
757,757,5,3,"[0.06063997745513916, 0.1592358946800232, 0.14048980176448822, 0.22717328369617462, 0.1480932980775833, 0.2643677890300751]","[0.05302901566028595, 0.1795966774225235, 0.18565165996551514, 0.33025771379470825, 0.17160458862781525, 0.07986029982566833]",4
758,758,5,3,"[0.04322068393230438, 0.14873933792114258, 0.11324545741081238, 0.21293281018733978, 0.20547612011432648, 0.2763856053352356]","[0.01769464649260044, 0.12420731782913208, 0.10751546919345856, 0.3128778636455536, 0.29891544580459595, 0.13878925144672394]",2
759,759,3,3,"[0.03740508109331131, 0.1647833287715912, 0.11961594223976135, 0.2642829418182373, 0.15584509074687958, 0.25806760787963867]","[0.022176973521709442, 0.12775377929210663, 0.14520856738090515, 0.36798250675201416, 0.21213802695274353, 0.12474015355110168]",3
760,760,5,1,"[0.04337551072239876, 0.21252001821994781, 0.12421024590730667, 0.19010081887245178, 0.16719244420528412, 0.26260095834732056]","[0.05491595342755318, 0.28158074617385864, 0.1522754728794098, 0.1708631068468094, 0.15108755230903625, 0.18927712738513947]",4
761,761,5,2,"[0.016124708577990532, 0.11453086137771606, 0.13926376402378082, 0.2064836025238037, 0.20712777972221375, 0.31646931171417236]","[0.07027765363454819, 0.15153169631958008, 0.23175100982189178, 0.22886298596858978, 0.2113160490989685, 0.10626053065061569]",2
762,762,5,2,"[0.0333406887948513, 0.1434548944234848, 0.16376318037509918, 0.21202053129673004, 0.1697252094745636, 0.2776954770088196]","[0.13908258080482483, 0.22992394864559174, 0.32176920771598816, 0.21141846477985382, 0.076866015791893, 0.020939847454428673]",2
763,763,5,1,"[0.02101014368236065, 0.1455734223127365, 0.06198601424694061, 0.1653359979391098, 0.23833833634853363, 0.36775606870651245]","[0.062354061752557755, 0.281099408864975, 0.09217971563339233, 0.18016424775123596, 0.20202423632144928, 0.18217836320400238]",1
764,764,5,1,"[0.01893749088048935, 0.23059779405593872, 0.10361900180578232, 0.16172881424427032, 0.11008623242378235, 0.37503066658973694]","[0.10766182094812393, 0.36990422010421753, 0.22973796725273132, 0.19185827672481537, 0.06745356321334839, 0.03338416665792465]",2
765,765,5,5,"[0.026111919432878494, 0.14626576006412506, 0.0994117334485054, 0.19901923835277557, 0.2207593023777008, 0.308432012796402]","[0.017407428473234177, 0.20175226032733917, 0.0964798852801323, 0.1800432652235031, 0.22796455025672913, 0.2763526439666748]",4
766,766,3,4,"[0.003474648343399167, 0.08378900587558746, 0.03473709523677826, 0.3104743957519531, 0.3030916452407837, 0.26443323493003845]","[0.0008785732206888497, 0.06088494881987572, 0.02908208966255188, 0.18393509089946747, 0.43653324246406555, 0.28868603706359863]",4
767,767,5,1,"[0.028058232739567757, 0.23399688303470612, 0.09816230088472366, 0.18454433977603912, 0.20263239741325378, 0.2526058852672577]","[0.03041239082813263, 0.2909247577190399, 0.18748611211776733, 0.2515413463115692, 0.1540202796459198, 0.08561509847640991]",3
768,768,4,4,"[0.006100583355873823, 0.10034920275211334, 0.04709631949663162, 0.20910640060901642, 0.33842843770980835, 0.29891908168792725]","[0.004144532140344381, 0.09750182926654816, 0.039222825318574905, 0.17301258444786072, 0.3973478376865387, 0.2887703776359558]",5
769,769,3,1,"[0.04042419046163559, 0.10977187007665634, 0.13286159932613373, 0.3664873242378235, 0.09781796485185623, 0.2526370584964752]","[0.05827527493238449, 0.2899217903614044, 0.18351630866527557, 0.25298646092414856, 0.09888998419046402, 0.11641011387109756]",5
770,770,5,2,"[0.058365579694509506, 0.16355197131633759, 0.14375847578048706, 0.1861262172460556, 0.15929168462753296, 0.28890612721443176]","[0.07963647693395615, 0.18917514383792877, 0.2810576260089874, 0.23844262957572937, 0.1333031952381134, 0.07838497310876846]",3
771,771,5,1,"[0.04678681492805481, 0.16552087664604187, 0.10149091482162476, 0.18663933873176575, 0.15363852679729462, 0.3459235429763794]","[0.08115281164646149, 0.23815235495567322, 0.20545054972171783, 0.19364944100379944, 0.14076796174049377, 0.14082683622837067]",5
772,772,5,3,"[0.03681230545043945, 0.13692568242549896, 0.09148570150136948, 0.24976252019405365, 0.2230779081583023, 0.26193591952323914]","[0.026723885908722878, 0.13675689697265625, 0.12208125740289688, 0.29708340764045715, 0.24954496324062347, 0.1678096055984497]",1
773,773,1,1,"[0.13530638813972473, 0.2127126157283783, 0.1632363498210907, 0.1947939544916153, 0.1020876094698906, 0.1918630748987198]","[0.18994100391864777, 0.3065268099308014, 0.24418316781520844, 0.18665750324726105, 0.05690630525350571, 0.01578524149954319]",1
774,774,5,0,"[0.04118209332227707, 0.16737158596515656, 0.13841930031776428, 0.19457870721817017, 0.18144379556179047, 0.2770044803619385]","[0.47906723618507385, 0.26132819056510925, 0.1117183119058609, 0.06930270045995712, 0.03439074382185936, 0.04419286176562309]",3
775,775,5,3,"[0.017789719626307487, 0.24368751049041748, 0.09509417414665222, 0.18025320768356323, 0.12068819999694824, 0.3424871563911438]","[0.0218813456594944, 0.18951299786567688, 0.1821262091398239, 0.28073427081108093, 0.17944560945034027, 0.1462995409965515]",4
776,776,5,4,"[0.03171004354953766, 0.1587536334991455, 0.104079470038414, 0.17979763448238373, 0.1860533356666565, 0.33960583806037903]","[0.00656902976334095, 0.12463497370481491, 0.1079268753528595, 0.21713875234127045, 0.29133108258247375, 0.2523993253707886]",2
777,777,5,3,"[0.054216980934143066, 0.19137965142726898, 0.0959596112370491, 0.18606039881706238, 0.16566210985183716, 0.30672121047973633]","[0.008616206236183643, 0.11845041811466217, 0.10767991840839386, 0.3511347472667694, 0.2772264778614044, 0.13689225912094116]",2
778,778,5,3,"[0.005060266237705946, 0.06402616947889328, 0.04995610937476158, 0.21652299165725708, 0.305804580450058, 0.35862991213798523]","[0.006920862477272749, 0.13929925858974457, 0.07967931777238846, 0.2846464514732361, 0.27862104773521423, 0.21083302795886993]",1
779,779,5,1,"[0.06145802512764931, 0.20385245978832245, 0.11248849332332611, 0.21607962250709534, 0.16585277020931244, 0.24026867747306824]","[0.13152708113193512, 0.2817175090312958, 0.21564412117004395, 0.22478771209716797, 0.09223603457212448, 0.0540875643491745]",2
780,780,5,3,"[0.022533556446433067, 0.108156219124794, 0.09579642117023468, 0.23450693488121033, 0.22786845266819, 0.311138391494751]","[0.011941945180296898, 0.14173994958400726, 0.14534816145896912, 0.2589993476867676, 0.24394111335277557, 0.1980295032262802]",2
781,781,5,2,"[0.06043699011206627, 0.18888889253139496, 0.16438111662864685, 0.18005335330963135, 0.16079410910606384, 0.2454455941915512]","[0.16324158012866974, 0.23481126129627228, 0.2839395999908447, 0.1841314285993576, 0.08701341599225998, 0.046862706542015076]",1
782,782,0,0,"[0.5936192274093628, 0.2296789437532425, 0.06007475405931473, 0.052454154938459396, 0.03186905011534691, 0.0323038324713707]","[0.7736328840255737, 0.15655474364757538, 0.033832721412181854, 0.019863519817590714, 0.009232178330421448, 0.006883967202156782]",2
783,783,5,3,"[0.02755259908735752, 0.13655051589012146, 0.10365551710128784, 0.2382529228925705, 0.1955895572900772, 0.29839885234832764]","[0.04933486506342888, 0.23723939061164856, 0.18585999310016632, 0.26189014315605164, 0.17345450818538666, 0.09222111850976944]",2
784,784,5,1,"[0.03509217128157616, 0.1380283683538437, 0.07884006947278976, 0.2195504605770111, 0.22400230169296265, 0.30448663234710693]","[0.0652017816901207, 0.2257910966873169, 0.14931584894657135, 0.20567819476127625, 0.18948853015899658, 0.16452454030513763]",4
785,785,5,5,"[0.014848644845187664, 0.13586856424808502, 0.09590963274240494, 0.23612304031848907, 0.2149840146303177, 0.30226609110832214]","[0.03217754885554314, 0.1921929270029068, 0.09836039692163467, 0.1918332874774933, 0.23455405235290527, 0.25088179111480713]",4
786,786,5,3,"[0.030523372814059258, 0.13829384744167328, 0.12237010151147842, 0.20327912271022797, 0.18737423419952393, 0.3181593418121338]","[0.0555482879281044, 0.17698967456817627, 0.1882859766483307, 0.23539727926254272, 0.19223475456237793, 0.151543989777565]",3
787,787,5,3,"[0.036237627267837524, 0.12240209430456161, 0.11486399173736572, 0.26927128434181213, 0.17482797801494598, 0.2823970913887024]","[0.007232374045997858, 0.11026383191347122, 0.09470390528440475, 0.2962278723716736, 0.27681106328964233, 0.21476097404956818]",2
788,788,5,5,"[0.025631606578826904, 0.18371954560279846, 0.08533433079719543, 0.21143943071365356, 0.21488715708255768, 0.2789878845214844]","[0.042550228536129, 0.29002538323402405, 0.0662270113825798, 0.1096755713224411, 0.18795233964920044, 0.3035694360733032]",4
789,789,5,2,"[0.0390431173145771, 0.17503368854522705, 0.13351866602897644, 0.15774008631706238, 0.16614919900894165, 0.3285152018070221]","[0.07263296097517014, 0.19746382534503937, 0.24757401645183563, 0.2190249115228653, 0.15251854062080383, 0.11078572273254395]",2
790,790,5,4,"[0.026987213641405106, 0.18813259899616241, 0.07735470682382584, 0.17473313212394714, 0.1938437521457672, 0.3389485478401184]","[0.011613260954618454, 0.12550480663776398, 0.10753398388624191, 0.263302206993103, 0.2704401910305023, 0.2216055542230606]",3
791,791,5,1,"[0.032818883657455444, 0.14827772974967957, 0.11043421179056168, 0.1999378204345703, 0.2130080759525299, 0.2955232262611389]","[0.08172596246004105, 0.22604627907276154, 0.1444895714521408, 0.17943507432937622, 0.1811179220676422, 0.18718521296977997]",0
792,792,5,3,"[0.026437873020768166, 0.1707427203655243, 0.09031451493501663, 0.20023106038570404, 0.1867515742778778, 0.3255223333835602]","[0.018174784258008003, 0.157266765832901, 0.148299440741539, 0.2869623601436615, 0.22999142110347748, 0.1593051552772522]",3
793,793,5,3,"[0.02400989830493927, 0.11685065180063248, 0.11416643857955933, 0.23847325146198273, 0.24833743274211884, 0.25816234946250916]","[0.02525256760418415, 0.14431701600551605, 0.19114229083061218, 0.32158565521240234, 0.21575558185577393, 0.1019468754529953]",2
794,794,5,3,"[0.032265447080135345, 0.1424843668937683, 0.07531347125768661, 0.2509404420852661, 0.22479797899723053, 0.2741982340812683]","[0.04213593155145645, 0.1791028529405594, 0.12674212455749512, 0.29148709774017334, 0.22712799906730652, 0.13340403139591217]",1
795,795,5,3,"[0.02483341097831726, 0.20612013339996338, 0.09351330250501633, 0.20615358650684357, 0.17144455015659332, 0.2979350686073303]","[0.01161681767553091, 0.15396331250667572, 0.1126682460308075, 0.29401153326034546, 0.25774362683296204, 0.16999636590480804]",1
796,796,5,3,"[0.015670815482735634, 0.13831880688667297, 0.08128179609775543, 0.19952727854251862, 0.21212534606456757, 0.3530759811401367]","[0.01627115160226822, 0.18296527862548828, 0.12677696347236633, 0.2578006088733673, 0.24936173856258392, 0.16682426631450653]",4
797,797,5,4,"[0.020604897290468216, 0.21086451411247253, 0.08253941684961319, 0.17808473110198975, 0.19441534578800201, 0.3134911060333252]","[0.011322901584208012, 0.1851038932800293, 0.11870291829109192, 0.25415438413619995, 0.263231486082077, 0.1674843430519104]",1
798,798,5,2,"[0.053865429013967514, 0.22303658723831177, 0.11535359919071198, 0.19223126769065857, 0.1480484902858734, 0.26746463775634766]","[0.08439642190933228, 0.23658715188503265, 0.2804643511772156, 0.24193044006824493, 0.10290829092264175, 0.05371333658695221]",1
799,799,5,3,"[0.018873760476708412, 0.09902957081794739, 0.08230872452259064, 0.2871215045452118, 0.20883528888225555, 0.30383118987083435]","[0.005515380762517452, 0.06201514974236488, 0.09547395259141922, 0.3477046489715576, 0.2724778354167938, 0.21681302785873413]",4
800,800,5,4,"[0.015953965485095978, 0.09656170010566711, 0.08798571676015854, 0.2705519497394562, 0.21819984912872314, 0.31074681878089905]","[0.00514585617929697, 0.07448834180831909, 0.05659347027540207, 0.2442447394132614, 0.3309870660305023, 0.2885405719280243]",4
801,801,5,1,"[0.04122001305222511, 0.1424599289894104, 0.10948769003152847, 0.2505747377872467, 0.19123809039592743, 0.2650195360183716]","[0.2672828733921051, 0.3197779953479767, 0.16073226928710938, 0.13714799284934998, 0.065323606133461, 0.04973534494638443]",5
802,802,5,3,"[0.020248431712388992, 0.15326526761054993, 0.07368002086877823, 0.18509700894355774, 0.20561280846595764, 0.36209648847579956]","[0.013893112540245056, 0.1308436095714569, 0.14573703706264496, 0.2762353718280792, 0.2587161064147949, 0.17457474768161774]",4
803,803,5,1,"[0.025741219520568848, 0.14276441931724548, 0.12028376758098602, 0.23945268988609314, 0.19831165671348572, 0.27344629168510437]","[0.10598745197057724, 0.23315559327602386, 0.17923544347286224, 0.18999271094799042, 0.1316761076450348, 0.15995275974273682]",3
804,804,3,3,"[0.057307224720716476, 0.16359709203243256, 0.11976690590381622, 0.24946269392967224, 0.18233153223991394, 0.22753459215164185]","[0.024428673088550568, 0.1666850447654724, 0.17936374247074127, 0.27435043454170227, 0.18762823939323425, 0.16754384338855743]",5
805,805,5,3,"[0.01831195503473282, 0.197440966963768, 0.08593099564313889, 0.19251865148544312, 0.1870613843202591, 0.3187360167503357]","[0.02094188891351223, 0.18088696897029877, 0.1836506724357605, 0.3254392147064209, 0.20023445785045624, 0.0888468474149704]",4
806,806,5,3,"[0.02592238411307335, 0.14737193286418915, 0.084663525223732, 0.18377649784088135, 0.2632898986339569, 0.29497572779655457]","[0.026817219331860542, 0.18935614824295044, 0.1650741845369339, 0.2896365225315094, 0.24075767397880554, 0.08835823833942413]",3
807,807,5,3,"[0.004961812868714333, 0.06296823918819427, 0.049947042018175125, 0.2441205382347107, 0.30729174613952637, 0.3307105600833893]","[0.004819466732442379, 0.12524710595607758, 0.07825154811143875, 0.3258165419101715, 0.2930983901023865, 0.17276695370674133]",3
808,808,5,3,"[0.028211204335093498, 0.18067045509815216, 0.09272618591785431, 0.20726747810840607, 0.19665981829166412, 0.2944648265838623]","[0.0782192051410675, 0.2370009422302246, 0.21466350555419922, 0.2858002483844757, 0.13285186886787415, 0.05146423727273941]",3
809,809,5,3,"[0.020101459696888924, 0.15261133015155792, 0.07893414050340652, 0.17018437385559082, 0.20341943204402924, 0.37474924325942993]","[0.023309579119086266, 0.1677168309688568, 0.14533574879169464, 0.2596418857574463, 0.24955308437347412, 0.15444284677505493]",5
810,810,5,1,"[0.01609080657362938, 0.08447407931089401, 0.1229524314403534, 0.22004945576190948, 0.24091029167175293, 0.3155229091644287]","[0.15028880536556244, 0.2546752989292145, 0.19137214124202728, 0.19170895218849182, 0.12166521698236465, 0.09028957039117813]",4
811,811,5,1,"[0.019065340980887413, 0.12405338138341904, 0.10074853897094727, 0.225875586271286, 0.22415849566459656, 0.3060986399650574]","[0.03349082171916962, 0.24534033238887787, 0.12235182523727417, 0.20725005865097046, 0.19740739464759827, 0.1941596120595932]",5
812,812,0,3,"[0.33014801144599915, 0.1802823394536972, 0.12382509559392929, 0.14872270822525024, 0.09717101603746414, 0.11985085159540176]","[0.20038928091526031, 0.1665457934141159, 0.14791633188724518, 0.21762099862098694, 0.15906158089637756, 0.1084660068154335]",0
813,813,5,4,"[0.020312538370490074, 0.14127370715141296, 0.0924912765622139, 0.1796589493751526, 0.19126231968402863, 0.3750011920928955]","[0.01792833022773266, 0.16024845838546753, 0.10309716314077377, 0.2326088845729828, 0.24773022532463074, 0.23838689923286438]",2
814,814,0,0,"[0.42108726501464844, 0.23115046322345734, 0.09513968974351883, 0.08962400257587433, 0.06413101404905319, 0.09886753559112549]","[0.5933640003204346, 0.22630569338798523, 0.09224342554807663, 0.05786581709980965, 0.020427878946065903, 0.009793121367692947]",0
815,815,5,1,"[0.017114711925387383, 0.13351614773273468, 0.09411541372537613, 0.227326899766922, 0.21727317571640015, 0.31065359711647034]","[0.051880691200494766, 0.2690718472003937, 0.15613161027431488, 0.24297499656677246, 0.17371881008148193, 0.10622195154428482]",1
816,816,5,1,"[0.04278852045536041, 0.13584400713443756, 0.11046335846185684, 0.21589982509613037, 0.1849225014448166, 0.31008175015449524]","[0.12005182355642319, 0.261455774307251, 0.21734239161014557, 0.20988719165325165, 0.11500437557697296, 0.07625846564769745]",1
817,817,5,1,"[0.02255360037088394, 0.24226994812488556, 0.13337278366088867, 0.19909746944904327, 0.1483788937330246, 0.2543272376060486]","[0.15840385854244232, 0.332310289144516, 0.15914028882980347, 0.14590412378311157, 0.1013922244310379, 0.10284922271966934]",5
818,818,5,3,"[0.03941065073013306, 0.24246519804000854, 0.10788963735103607, 0.15412147343158722, 0.14183048903942108, 0.31428253650665283]","[0.04166589677333832, 0.20934467017650604, 0.21473044157028198, 0.26201263070106506, 0.1593773514032364, 0.1128690168261528]",2
819,819,5,2,"[0.08363524079322815, 0.20557592809200287, 0.13831232488155365, 0.1685286909341812, 0.10389005392789841, 0.3000577688217163]","[0.09420618414878845, 0.22614045441150665, 0.2801734507083893, 0.24260666966438293, 0.09735145419836044, 0.05952179804444313]",5
820,820,5,3,"[0.021970219910144806, 0.17384269833564758, 0.08866295963525772, 0.19945377111434937, 0.19959725439548492, 0.3164731562137604]","[0.02808457612991333, 0.18245752155780792, 0.14312824606895447, 0.27559778094291687, 0.22705373167991638, 0.14367815852165222]",5
821,821,5,4,"[0.00893037486821413, 0.06757187843322754, 0.10185151547193527, 0.2421320378780365, 0.2795744240283966, 0.2999397814273834]","[0.01206406019628048, 0.10572997480630875, 0.1193123310804367, 0.27569642663002014, 0.3041189908981323, 0.18307822942733765]",4
822,822,5,5,"[0.017525045201182365, 0.12345902621746063, 0.09113303571939468, 0.1987270712852478, 0.229353129863739, 0.33980268239974976]","[0.019326230511069298, 0.17507655918598175, 0.08738704025745392, 0.20564204454421997, 0.24807702004909515, 0.26449114084243774]",3
823,823,5,1,"[0.01497488934546709, 0.08855726569890976, 0.07230313122272491, 0.26573625206947327, 0.24880795180797577, 0.3096204996109009]","[0.0900181457400322, 0.2699057161808014, 0.13864392042160034, 0.17137941718101501, 0.15227766335010529, 0.17777512967586517]",4
824,824,1,1,"[0.16359952092170715, 0.3658924102783203, 0.10632365196943283, 0.12056946009397507, 0.08033324778079987, 0.16328167915344238]","[0.24404343962669373, 0.3339623212814331, 0.17558807134628296, 0.13791877031326294, 0.06977389007806778, 0.0387134812772274]",1
825,825,5,1,"[0.02032882161438465, 0.18453876674175262, 0.09410778433084488, 0.18623171746730804, 0.2034216672182083, 0.31137123703956604]","[0.05225156992673874, 0.250367671251297, 0.1475755274295807, 0.21043291687965393, 0.17924031615257263, 0.1601320058107376]",5
826,826,5,3,"[0.01943679340183735, 0.13713029026985168, 0.07724897563457489, 0.25369027256965637, 0.2258579134941101, 0.28663572669029236]","[0.014145629480481148, 0.1417398899793625, 0.09302385151386261, 0.32314085960388184, 0.2810923159122467, 0.14685747027397156]",4
827,827,1,1,"[0.10445088893175125, 0.4884169399738312, 0.11049824953079224, 0.1459532380104065, 0.08997882902622223, 0.0607018917798996]","[0.12503187358379364, 0.39778727293014526, 0.16459687054157257, 0.1792343258857727, 0.10268109291791916, 0.03066854551434517]",2
